ID,Cr,OS,Type,Summary,AllLabels,Cc
541553,Enterprise,All,Bug,policy_templates.json is unclear,"Cr-Enterprise, OS-All, Pri-2, Type-Bug",
541544,Blink-Paint,All,Bug-Regression,"Regression : Text is seen Overlapped in Textbox on clicking play button for ""Do it (Tomorrow)"" App","Cr-Blink-Paint, M-47, OS-All, Pri-1, ReleaseBlock-Stable, Type-Bug-Regression","a...@chromium.org, brajku...@chromium.org, durga.be...@chromium.org, kavv...@chromium.org"
541533,"Blink-DOM, Blink-WebComponents",All,Bug,Distributions can create a cycle and detach until stack overflow,"Cr-Blink-DOM, Cr-Blink-WebComponents, OS-All, Pri-2, Stability-Crash, Type-Bug","dglazkov@chromium.org, dominicc@chromium.org, esprehn@chromium.org, hayato@chromium.org, kochi@chromium.org, rune@opera.com"
541493,"Blink-Fonts, Blink-Layout, Blink-RTL",All,Bug,Text shifting when using word-break: break-all or keep-all on RTL Arabic text,"Cr-Blink-Fonts, Cr-Blink-Layout, Cr-Blink-RTL, OS-All, Pri-2, Type-Bug, Via-Wizard","dr...@chromium.org, eae@chromium.org, kojii@chromium.org, szager@chromium.org"
541483,Blink-HTML,All,Bug,display: none causes element.width to return 0,"Cr-Blink-HTML, Hotlist-Interop, OS-All, Pri-2, Type-Bug",kavv...@chromium.org
541475,Blink-Layout,All,Bug,"'Vertical horizontal' goes outside of the window, hence unable to scroll by scrollbar, on 'Devtools' window","Cr-Blink-Layout, M-47, Needs-Feedback, OS-All, Pri-2, Type-Bug",kavv...@chromium.org
541469,Blink-Paint,All,Bug-Regression,"Regression: ""Add to palette"" ('+')  sign is not visible after clicking multiple time on it in color picker window.","Cr-Blink-Paint, M-47, OS-All, Pri-2, Type-Bug-Regression, Via-Wizard",kavv...@chromium.org
541460,Tests-Telemetry,All,Bug,Label of a checkbox disappearing when it is unchecked,"Cr-Tests-Telemetry, OS-All, Pri-2, Type-Bug",
541441,Blink-Bluetooth,All,Bug,Add support for local path priority-groups in dependency manager,"Cr-Blink-Bluetooth, OS-All, Pri-2, Type-Bug",
541439,Blink-Bluetooth,All,Bug,Unify the API of telemetry unittests runner with benchmark runner,"Cr-Blink-Bluetooth, OS-All, Pri-2, Type-Bug",
541427,Blink-PresentationAPI,All,Bug,mandoline layout test runner crashes,"Cr-Blink-PresentationAPI, M-48, OS-All, Pri-1, Type-Bug","apaci...@chromium.org, imch...@chromium.org, mfo...@chromium.org, sko...@chromium.org"
541390,UI-Browser-Downloads,All,Bug,bluetooth: Unregister characteristic from BluetoothDispatcherHost when the object has no more listeners,"Cr-UI-Browser-Downloads, OS-All, Pri-2, Type-Bug","nick@chromium.org, rdsmith@chromium.org"
541388,"Platform-DevTools, Platform-DevTools-Performance",All,Bug,bluetooth: Add support for multiple frames for characteristic events.,"Cr-Platform-DevTools, Cr-Platform-DevTools-Performance, OS-All, Pri-2, Type-Bug",
541372,"Internals-Sandbox-SiteIsolation, UI-Browser-Downloads",All,Bug,Implement P1 UMA metrics for Media Router,"Cr-Internals-Sandbox-SiteIsolation, Cr-UI-Browser-Downloads, OS-All, Pri-2, Type-Bug","nick@chromium.org, rdsmith@chromium.org"
541354,Services-Sync,All,Bug,Save-Page-As: Raciness when saving a dynamically changing page,"Cr-Services-Sync, M-48, OS-All, Pri-1, Type-Bug",
541347,Blink-PresentationAPI,All,Bug,"DevTools: ""Tracing already started"" on angular dbmon. ","Cr-Blink-PresentationAPI, M-48, OS-All, Pri-1, Type-Bug",
541343,Blink-Tools-Test,All,Bug,md downloads page needs to distinguish between dangerous and malicious downloads to match shelf,"Cr-Blink-Tools-Test, Hotlist-Input-Dev, OS-All, Pri-2, Type-Bug",rby...@chromium.org
541342,"Blink-CSS, Blink-Input-HitTesting",All,Bug,Save-Page-As: never completes when saving a crashed page ,"Cr-Blink-CSS, Cr-Blink-Input-HitTesting, Hotlist-Interop, OS-All, Pri-2, Type-Bug, Via-Wizard",nyerrami...@chromium.org
541330,Internals-Installer-Components,All,Bug,Sync min backoff interval is way too long,"Cr-Internals-Installer-Components, OS-All, Pri-2, Type-Bug",so...@chromium.org
541315,"Internals-Network-SSL, Security-UX",All,Bug,Add support for Finch experiment,"Cr-Internals-Network-SSL, Cr-Security-UX, OS-All, Pri-2, Type-Bug, Via-Wizard","a...@chromium.org, davidben@chromium.org, pal...@chromium.org, sval...@chromium.org"
541311,UI-Browser-Search,All,Bug,"MouseEvent ""buttons"" fails to reach from eventSender to DOM dispatcher","Cr-UI-Browser-Search, OS-All, Pri-2, Type-Bug",
541290,Blink-PresentationAPI,All,Bug,Initial download of components is too slow for some use cases.,"Cr-Blink-PresentationAPI, OS-All, Pri-1, Type-Bug","imch...@chromium.org, mfo...@chromium.org, sko...@chromium.org, vadi...@chromium.org"
541257,,All,Bug,RSA Exponent = 1 is not rejected as insecure,"OS-All, Pri-1, Proj-Mandoline, Type-Bug",
541253,Services-Sync,All,Bug,add regression test for search engine detection,"Cr-Services-Sync, OS-All, Pri-3, Type-Bug",
541246,Internals-Metrics,All,Bug,Add new receiver icon for MR UI,"Cr-Internals-Metrics, OS-All, Pri-2, Type-Bug",
541243,Blink-Fonts,All,Bug,Need basic apptest for mandoline browser,"Cr-Blink-Fonts, OS-All, Pri-2, Type-Bug","dr...@chromium.org, eae@chromium.org, kojii@chromium.org, lraffe...@gmail.com"
541223,Tests-Telemetry,All,Bug,skym debug bug,"Cr-Tests-Telemetry, OS-All, Pri-2, Type-Bug","eakuef...@chromium.org, nedngu...@google.com"
541222,UI-Accessibility,All,Bug,"RecordUMAStatistics() in about_flags.cc should be made into a histogram, instead of actions","Cr-UI-Accessibility, OS-All, Pri-2, Type-Bug, cvox2",
541193,Blink-JavaScript-GC,All,Bug,"nbsp show as zero width using ""allerregular"" font","Cr-Blink-JavaScript-GC, OS-All, Pri-2, Type-Bug","hpa...@chromium.org, ulan@chromium.org"
541191,UI-Browser-Autofill,All,,Move telemetry_binary_manager.isolate to tools/perf,"Cr-UI-Browser-Autofill, M-45, OS-All, Pri-3","mathp@chromium.org, ranjit...@chromium.org, smok...@chromium.org, thestig@chromium.org"
541178,"Blink-HTML, Blink-HTML-Parser, Blink-LayoutTests",All,Bug,Accessibility tree selection offsets off when document contains collapsable whitespace,"Cr-Blink-HTML, Cr-Blink-HTML-Parser, Cr-Blink-LayoutTests, OS-All, Pri-2, Type-Bug",hirosh...@chromium.org
541153,Blink-Compositing,All,Bug,Images in 2nd column not showing Chrome Only. Used to work 3 weeks ago. ,"Cr-Blink-Compositing, OS-All, Pri-2, Type-Bug","danakj@chromium.org, enne@chromium.org, weilia...@chromium.org"
541135,"Internals-Plugins-PDF, UI-Browser-PrintPreview",All,Bug,15% regression on memory.long_running_idle_gmail_background ,"Cr-Internals-Plugins-PDF, Cr-UI-Browser-PrintPreview, M-48, OS-All, Pri-2, Type-Bug","ranjit...@chromium.org, smok...@chromium.org"
541129,Blink-Scroll,All,Bug-Regression,Regression: Unnecessary autofill suggestion appears on the 'Search' field in 'Vijaysales.com'.,"Cr-Blink-Scroll, M-47, Merge-Request-47, OS-All, Pri-1, ReleaseBlock-Stable, Type-Bug-Regression","ranjit...@chromium.org, smok...@chromium.org"
541125,Blink-Layout,All,Bug-Regression,Layout Test imported/web-platform-tests/html/semantics/grouping-content/the-ol-element/ol.start-reflection-2.html is failing,"Cr-Blink-Layout, Hotlist-Merge-Approved, M-47, Merge-Approved-47, OS-All, Pri-1, ReleaseBlock-Stable, Type-Bug-Regression","ranjit...@chromium.org, smok...@chromium.org"
541121,UI-Browser-PrintPreview,All,Bug-Regression,Change HUD display.,"Cr-UI-Browser-PrintPreview, M-48, OS-All, Pri-2, Type-Bug-Regression","ranjit...@chromium.org, smok...@chromium.org"
541120,"UI-Browser-PageActionBox, UI-Settings",All,Bug,Unable to click hyperlink after rotating the preview clockwise for pdf page.,"Cr-UI-Browser-PageActionBox, Cr-UI-Settings, M-47, OS-All, Pri-2, Type-Bug","ranjit...@chromium.org, smok...@chromium.org"
541119,Internals-Plugins-PDF,All,Bug,"Regression: Vertical scroll bar blinks on clicking 'Sign up' and 'Log in' button at ""www.pinterest.com"".","Cr-Internals-Plugins-PDF, M-47, OS-All, Pri-2, Type-Bug","a...@chromium.org, brajku...@chromium.org, durga.be...@chromium.org, kavv...@chromium.org"
541098,Blink-HTML-Parser,All,Bug,Regression: Weird pagination highlight is seen on 'www.bharatpetroleum.co.in'.,"Cr-Blink-HTML-Parser, OS-All, Pri-2, Type-Bug",
541097,UI-Browser-WebUI,All,Bug,Regression: Preview of the page is not displayed properly.,"Cr-UI-Browser-WebUI, OS-All, Pri-2, Type-Bug","cbiesin...@chromium.org, dbeam@chromium.org, p...@chromium.org, treib@chromium.org"
541083,,All,Bug,Regression: 'remove this site' text alignment is not shown properly in chrome://settings/handlers.,"Infra, OS-All, Pri-2, Type-Bug",
541077,Blink-CSS,All,Bug,Regression: In 'chrome://extensions' page 'Reload' and 'Launch' link gets misplaced on reloading  V2 app.,"Cr-Blink-CSS, OS-All, Performance, Pri-2, Type-Bug","esprehn@chromium.org, leviw@chromium.org, tim...@chromium.org, chrome-p...@google.com"
541068,Blink-WebRTC-Tools,All,Feature,Non-Regression : Page numbers in PDF File are seen Chopped on changing font size to small,"Cr-Blink-WebRTC-Tools, M-48, OS-All, Pri-2, Type-Feature","d...@google.com, hlun...@chromium.org, ivoc@chromium.org, jansson@chromium.org, tnakamura@chromium.org, tommi@chromium.org"
541049,"Blink-CSS, Blink-WebComponents",All,Bug,"Experiment: extra message ""<unknown> - didFinishLoading"" is shown when disabling BackgroundHTMLParser","Cr-Blink-CSS, Cr-Blink-WebComponents, OS-All, Pri-1, Type-Bug, Via-Wizard, toolkit","dglazkov@chromium.org, dominicc@chromium.org, esprehn@chromium.org, hayato@chromium.org, kochi@chromium.org, tim...@chromium.org"
